,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased
182,RJ,Rajasthan,RJ_Udaipur,Udaipur,11291,390,10791,110
183,UT,Uttarakhand,UT_Nainital,Nainital,11216,956,9998,204
184,TN,Tamil Nadu,TN_Namakkal,Namakkal,11189,181,10899,109
185,MH,Maharashtra,MH_Ratnagiri,Ratnagiri,11169,394,10397,376
186,UP,Uttar Pradesh,UP_Aligarh,Aligarh,11164,142,10967,55
187,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,11076,160,10697,109
188,KA,Karnataka,KA_Haveri,Haveri,10959,20,10749,190
189,TN,Tamil Nadu,TN_Dindigul,Dindigul,10926,153,10576,197
190,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,10923,120,10694,109
191,KA,Karnataka,KA_Gadag,Gadag,10903,27,10735,141
192,OR,Odisha,OR_Angul,Angul,10858,224,10597,37
193,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,10797,19,10670,108
194,HR,Haryana,HR_Karnal,Karnal,10785,251,10388,146
195,RJ,Rajasthan,RJ_Pali,Pali,10723,399,10215,109
196,KA,Karnataka,KA_Yadgir,Yadgir,10577,24,10492,61
197,MH,Maharashtra,MH_Akola,Akola,10554,333,9870,346
198,HR,Haryana,HR_Panipat,Panipat,10497,221,10131,145
199,TG,Telangana,TG_Khammam,Khammam,10359,10356,3,0
200,UP,Uttar Pradesh,UP_Agra,Agra,10227,176,9881,170
201,GJ,Gujarat,GJ_Jamnagar,Jamnagar,10134,141,9958,35
202,OR,Odisha,OR_Bargarh,Bargarh,10128,110,9978,40
203,UP,Uttar Pradesh,UP_Jhansi,Jhansi,10104,166,9760,178
204,HP,Himachal Pradesh,HP_Shimla,Shimla,10047,327,9427,254
205,HR,Haryana,HR_Panchkula,Panchkula,9964,226,9596,142
206,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,9737,376,9228,133
207,KA,Karnataka,KA_Kolar,Kolar,9700,125,9399,176
208,HP,Himachal Pradesh,HP_Mandi,Mandi,9636,581,8937,118
209,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,9603,376,9188,39
210,WB,West Bengal,WB_Birbhum,Birbhum,9563,260,9219,84
211,RJ,Rajasthan,RJ_Nagaur,Nagaur,9527,315,9122,90
